id,precinct_id,name,created_at,format,type,class,active,max_rating
1,1,DRaaS & RouteSim,07/01/19,ROUND_ROBIN,SINGLES,TOURNAMENT,t,
2,1,Raspberry Berets,09/01/19,DOUBLE_ELIMINATION,DOUBLES,TOURNAMENT,t,1250
3,1,Blind Assassins,09/01/19,DOUBLE_ELIMINATION,DOUBLES,TOURNAMENT,t,
5,1,Off-season,09/01/19,OPEN_STYLE,MIXED,SEASON,t,
6,1,Regular Season,09/01/19,ROUND_ROBIN_SPLIT,SINGLES,SEASON,t,
7,1,Berets' Playoff,09/01/19,DOUBLE_ELIMINATION,SINGLES,PLAYOFF,f,1200
8,1,Riders' Playoff,09/01/19,DOUBLE_ELIMINATION,SINGLES,PLAYOFF,f,1400
9,1,Assassins' Playoff,09/01/19,DOUBLE_ELIMINATION,SINGLES,PLAYOFF,f,
10,1,Sweet 16s,11/12/19,RR_DOUBLE_ELIM,SINGLES,TOURNAMENT,t,1700
